code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,30.0,55.0,40.0,50.0,35.0,40.0,50.0,25.0,35.0,60.0,35.0,70.0,50.0,45.0,45.0,50.0,55.0,30.0,40.0,50.0,40.0,55.0,50.0,40.0,40.0,40.0,45.0,50.0,45.0,60.0,55.0,45.0,55.0,60.0,55.0,65.0,45.0,50.0,60.0,65.0,45.0,40.0,45.0,40.0,50.0,60.0,50.0,50.0,45.0,45.0,50.0,55.0,45.0,65.0,55.0,65.0,30.0,55.0,65.0,35.0,65.0,50.0,35.0,35.0,40.0,50.0,65.0,70.0,35.0,45.0,60.0,45.0,50.0,45.0,30.0,50.0,30.0,40.0,40.0,55.0,60.0,55.0,40.0,35.0,60.0,55.0,55.0,45.0,40.0,60.0,35.0,55.0,60.0,50.0,40.0
000002.SZ,40.0,55.0,35.0,65.0,40.0,40.0,55.0,45.0,50.0,40.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,40.0,70.0,45.0,60.0,40.0,50.0,40.0,40.0,45.0,50.0,30.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,45.0,80.0,60.0,55.0,55.0,45.0,60.0,50.0,,40.0,30.0,55.0,50.0,65.0,15.0,40.0,60.0,25.0,35.0,55.0,60.0,65.0,30.0,40.0,35.0,45.0,45.0,55.0,,,,,50.0,45.0,45.0,50.0,30.0,40.0,70.0,70.0,,,,,,,,,,,,,,,,60.0,50.0,55.0,40.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,60.0,,,50.0,65.0,60.0,35.0,65.0,30.0,45.0,35.0,75.0,60.0,55.0,60.0,40.0,60.0,50.0,50.0,55.0,50.0,35.0,60.0,50.0,45.0,50.0,50.0,55.0,25.0,,,,,65.0,60.0,40.0,75.0,50.0,,,,,40.0,45.0,65.0,45.0,45.0,55.0,45.0,40.0,70.0,40.0,60.0,50.0,45.0,45.0,40.0,,40.0,45.0,40.0,50.0,40.0,40.0,35.0,50.0,60.0,55.0,45.0,50.0,45.0,60.0,35.0,45.0,20.0,,35.0,,,35.0,40.0,45.0,30.0,55.0,25.0,60.0,60.0,50.0,35.0,40.0,40.0,30.0,50.0,55.0,35.0
000009.SZ,55.0,55.0,40.0,45.0,45.0,40.0,40.0,55.0,50.0,45.0,35.0,50.0,50.0,50.0,45.0,50.0,60.0,40.0,65.0,35.0,55.0,65.0,50.0,45.0,50.0,60.0,50.0,50.0,,,,,35.0,35.0,60.0,,60.0,65.0,50.0,55.0,55.0,55.0,,,55.0,80.0,60.0,45.0,40.0,55.0,55.0,55.0,50.0,65.0,55.0,55.0,40.0,50.0,55.0,45.0,45.0,70.0,30.0,40.0,40.0,65.0,60.0,55.0,55.0,45.0,45.0,50.0,35.0,50.0,55.0,45.0,40.0,35.0,55.0,40.0,55.0,50.0,50.0,50.0,45.0,50.0,65.0,40.0,45.0,35.0,50.0,45.0,45.0,60.0,40.0
000010.SZ,,,,55.0,65.0,50.0,50.0,,,40.0,45.0,,,,,,,,,,,60.0,45.0,30.0,40.0,50.0,35.0,40.0,45.0,65.0,45.0,35.0,50.0,50.0,45.0,,,,,,,45.0,50.0,35.0,55.0,65.0,55.0,55.0,50.0,55.0,50.0,55.0,40.0,55.0,45.0,60.0,50.0,45.0,35.0,40.0,45.0,55.0,40.0,30.0,25.0,40.0,55.0,60.0,40.0,50.0,40.0,50.0,35.0,40.0,60.0,30.0,45.0,55.0,60.0,50.0,45.0,35.0,50.0,15.0,35.0,55.0,50.0,40.0,40.0,50.0,40.0,35.0,30.0,40.0,50.0
000011.SZ,45.0,60.0,45.0,50.0,45.0,60.0,35.0,45.0,65.0,55.0,25.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,45.0,55.0,40.0,55.0,40.0,45.0,,35.0,50.0,70.0,40.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,40.0,70.0,45.0,60.0,40.0,65.0,45.0,60.0,60.0,50.0,35.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000016.SZ,40.0,60.0,45.0,55.0,40.0,50.0,35.0,50.0,50.0,65.0,30.0,60.0,55.0,45.0,50.0,55.0,45.0,35.0,60.0,40.0,55.0,60.0,55.0,50.0,45.0,55.0,45.0,35.0,45.0,45.0,65.0,50.0,65.0,40.0,65.0,55.0,50.0,60.0,45.0,50.0,,,,,5.0,60.0,55.0,40.0,45.0,55.0,,20.0,45.0,45.0,55.0,55.0,40.0,40.0,50.0,45.0,50.0,50.0,55.0,65.0,50.0,50.0,45.0,55.0,50.0,60.0,60.0,40.0,65.0,55.0,70.0,40.0,45.0,50.0,40.0,45.0,45.0,25.0,45.0,30.0,50.0,55.0,65.0,40.0,55.0,30.0,70.0,60.0,45.0,45.0,45.0
000017.SZ,45.0,60.0,50.0,55.0,45.0,40.0,45.0,55.0,45.0,75.0,,,,,,,,,,,,,,,60.0,40.0,60.0,40.0,45.0,60.0,55.0,60.0,55.0,45.0,50.0,35.0,65.0,60.0,65.0,60.0,65.0,45.0,50.0,40.0,50.0,60.0,50.0,45.0,50.0,55.0,50.0,60.0,40.0,50.0,,45.0,50.0,65.0,45.0,55.0,40.0,,40.0,45.0,15.0,55.0,50.0,65.0,25.0,45.0,25.0,15.0,20.0,50.0,40.0,30.0,40.0,30.0,50.0,50.0,60.0,65.0,60.0,50.0,40.0,60.0,60.0,40.0,40.0,40.0,40.0,50.0,30.0,50.0,45.0
000018.SZ,60.0,65.0,45.0,55.0,50.0,45.0,35.0,55.0,55.0,50.0,40.0,60.0,60.0,45.0,60.0,35.0,50.0,55.0,40.0,60.0,60.0,35.0,65.0,55.0,40.0,50.0,65.0,40.0,45.0,,,,,45.0,45.0,75.0,55.0,35.0,60.0,55.0,,30.0,50.0,50.0,60.0,60.0,50.0,65.0,45.0,45.0,60.0,45.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000019.SZ,50.0,65.0,50.0,,,,45.0,50.0,65.0,50.0,40.0,,,55.0,45.0,50.0,55.0,35.0,40.0,45.0,40.0,50.0,55.0,55.0,45.0,60.0,55.0,65.0,50.0,60.0,55.0,55.0,75.0,40.0,60.0,40.0,60.0,40.0,65.0,60.0,60.0,50.0,50.0,50.0,60.0,75.0,60.0,45.0,40.0,65.0,45.0,60.0,50.0,50.0,40.0,50.0,50.0,60.0,40.0,55.0,55.0,55.0,50.0,40.0,45.0,65.0,55.0,,,,,,,,,25.0,45.0,50.0,60.0,50.0,35.0,45.0,55.0,45.0,50.0,65.0,50.0,40.0,55.0,45.0,40.0,50.0,40.0,55.0,40.0
000020.SZ,40.0,50.0,50.0,60.0,35.0,50.0,35.0,45.0,65.0,55.0,30.0,55.0,45.0,65.0,45.0,50.0,60.0,25.0,60.0,60.0,55.0,55.0,65.0,60.0,45.0,50.0,50.0,,40.0,,,,,,,,,,,65.0,60.0,50.0,,55.0,60.0,85.0,40.0,40.0,,,40.0,50.0,35.0,60.0,45.0,45.0,55.0,40.0,55.0,50.0,45.0,50.0,50.0,50.0,,,,,40.0,55.0,10.0,45.0,30.0,40.0,60.0,40.0,55.0,45.0,55.0,40.0,60.0,35.0,65.0,45.0,45.0,55.0,65.0,55.0,35.0,50.0,45.0,45.0,45.0,40.0,35.0
000021.SZ,50.0,70.0,30.0,45.0,50.0,35.0,40.0,40.0,50.0,45.0,30.0,65.0,65.0,50.0,40.0,35.0,70.0,50.0,60.0,50.0,35.0,40.0,60.0,60.0,80.0,55.0,40.0,45.0,45.0,60.0,45.0,45.0,55.0,75.0,55.0,45.0,65.0,60.0,55.0,70.0,,55.0,,50.0,55.0,65.0,65.0,50.0,45.0,55.0,45.0,55.0,50.0,65.0,50.0,65.0,40.0,45.0,55.0,35.0,55.0,50.0,45.0,35.0,50.0,40.0,40.0,60.0,45.0,55.0,50.0,55.0,30.0,55.0,65.0,60.0,30.0,35.0,50.0,40.0,45.0,40.0,55.0,45.0,45.0,35.0,70.0,40.0,60.0,55.0,65.0,65.0,50.0,40.0,55.0
000024.SZ,45.0,60.0,55.0,75.0,65.0,55.0,40.0,40.0,50.0,50.0,50.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000025.SZ,40.0,60.0,45.0,55.0,40.0,45.0,35.0,50.0,65.0,55.0,40.0,60.0,65.0,50.0,55.0,50.0,60.0,25.0,55.0,50.0,55.0,50.0,60.0,60.0,55.0,55.0,,,45.0,50.0,50.0,50.0,75.0,50.0,35.0,45.0,55.0,65.0,60.0,40.0,60.0,55.0,75.0,40.0,,55.0,50.0,45.0,50.0,35.0,50.0,50.0,35.0,,35.0,50.0,55.0,55.0,60.0,45.0,55.0,60.0,35.0,40.0,35.0,60.0,35.0,45.0,50.0,40.0,45.0,45.0,35.0,45.0,45.0,40.0,40.0,50.0,70.0,55.0,55.0,55.0,60.0,45.0,45.0,50.0,60.0,40.0,45.0,60.0,40.0,35.0,45.0,45.0,50.0
000026.SZ,25.0,65.0,35.0,50.0,40.0,40.0,25.0,40.0,55.0,40.0,35.0,70.0,45.0,40.0,45.0,40.0,55.0,15.0,55.0,50.0,45.0,55.0,60.0,50.0,35.0,55.0,45.0,60.0,60.0,40.0,65.0,40.0,50.0,55.0,60.0,50.0,60.0,55.0,75.0,30.0,75.0,35.0,45.0,55.0,60.0,70.0,45.0,65.0,40.0,50.0,50.0,50.0,50.0,60.0,55.0,55.0,50.0,55.0,45.0,70.0,60.0,55.0,45.0,45.0,35.0,55.0,45.0,60.0,40.0,60.0,45.0,60.0,55.0,45.0,50.0,45.0,40.0,45.0,40.0,50.0,50.0,45.0,60.0,35.0,35.0,55.0,60.0,40.0,50.0,45.0,45.0,50.0,50.0,30.0,45.0
000027.SZ,30.0,70.0,30.0,45.0,45.0,40.0,35.0,,,35.0,50.0,50.0,55.0,55.0,40.0,30.0,55.0,35.0,55.0,50.0,45.0,50.0,55.0,40.0,40.0,60.0,55.0,40.0,50.0,50.0,60.0,55.0,70.0,45.0,65.0,60.0,50.0,55.0,80.0,65.0,70.0,55.0,55.0,65.0,50.0,60.0,55.0,40.0,45.0,50.0,55.0,35.0,45.0,40.0,45.0,50.0,50.0,40.0,65.0,35.0,60.0,55.0,55.0,40.0,40.0,60.0,60.0,45.0,30.0,35.0,40.0,50.0,55.0,45.0,45.0,45.0,65.0,30.0,50.0,55.0,55.0,40.0,45.0,50.0,45.0,55.0,50.0,25.0,45.0,45.0,40.0,40.0,40.0,55.0,50.0
000028.SZ,40.0,60.0,30.0,,55.0,60.0,40.0,40.0,50.0,55.0,35.0,65.0,45.0,45.0,50.0,40.0,45.0,40.0,50.0,60.0,55.0,55.0,40.0,55.0,50.0,35.0,55.0,50.0,55.0,50.0,60.0,35.0,60.0,30.0,45.0,50.0,55.0,50.0,65.0,60.0,70.0,45.0,50.0,50.0,50.0,,,,,,,65.0,20.0,55.0,60.0,50.0,35.0,60.0,40.0,35.0,50.0,45.0,40.0,45.0,45.0,65.0,30.0,45.0,35.0,40.0,50.0,40.0,50.0,40.0,45.0,25.0,50.0,45.0,35.0,60.0,35.0,40.0,35.0,45.0,45.0,50.0,55.0,40.0,30.0,50.0,45.0,50.0,40.0,60.0,35.0
000029.SZ,50.0,60.0,40.0,40.0,30.0,40.0,45.0,40.0,50.0,55.0,35.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000030.SZ,60.0,65.0,40.0,35.0,60.0,35.0,35.0,65.0,45.0,,,60.0,50.0,55.0,40.0,50.0,65.0,15.0,60.0,45.0,50.0,55.0,50.0,45.0,35.0,55.0,40.0,35.0,50.0,60.0,55.0,60.0,65.0,50.0,60.0,65.0,40.0,55.0,70.0,50.0,60.0,45.0,65.0,50.0,50.0,70.0,70.0,60.0,40.0,45.0,60.0,50.0,40.0,55.0,40.0,60.0,65.0,60.0,35.0,60.0,40.0,60.0,60.0,50.0,40.0,60.0,50.0,40.0,40.0,50.0,45.0,45.0,40.0,40.0,40.0,45.0,50.0,60.0,45.0,35.0,50.0,45.0,50.0,40.0,50.0,55.0,70.0,40.0,45.0,40.0,40.0,40.0,45.0,40.0,55.0
000031.SZ,40.0,70.0,35.0,60.0,50.0,35.0,30.0,35.0,45.0,40.0,25.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000032.SZ,45.0,55.0,35.0,50.0,45.0,50.0,25.0,60.0,45.0,45.0,45.0,60.0,40.0,60.0,50.0,55.0,70.0,40.0,60.0,45.0,60.0,45.0,55.0,50.0,55.0,60.0,60.0,45.0,,,,,,,,45.0,45.0,65.0,50.0,65.0,60.0,55.0,55.0,65.0,55.0,55.0,55.0,55.0,40.0,60.0,45.0,55.0,55.0,45.0,50.0,45.0,55.0,60.0,55.0,55.0,45.0,,,,,,,,25.0,50.0,45.0,,25.0,45.0,45.0,40.0,45.0,55.0,75.0,50.0,55.0,50.0,65.0,40.0,60.0,65.0,50.0,40.0,55.0,70.0,45.0,50.0,35.0,65.0,45.0
000033.SZ,50.0,70.0,60.0,55.0,50.0,35.0,25.0,35.0,65.0,50.0,30.0,,55.0,35.0,35.0,45.0,50.0,20.0,50.0,65.0,60.0,50.0,50.0,50.0,40.0,60.0,40.0,,40.0,50.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000034.SZ,50.0,50.0,55.0,55.0,35.0,45.0,50.0,50.0,55.0,60.0,30.0,45.0,55.0,50.0,35.0,45.0,40.0,,55.0,50.0,50.0,50.0,50.0,40.0,55.0,60.0,60.0,40.0,40.0,60.0,55.0,60.0,60.0,50.0,45.0,55.0,55.0,55.0,,,,,,,55.0,60.0,50.0,,,,,,60.0,,60.0,45.0,40.0,50.0,35.0,30.0,40.0,55.0,,,,,,55.0,,,,,,,,,,50.0,40.0,50.0,45.0,35.0,55.0,45.0,30.0,50.0,60.0,45.0,45.0,60.0,55.0,40.0,50.0,50.0,65.0
000035.SZ,,,,,,,,,,,,,,,,,,,,,,55.0,45.0,35.0,60.0,65.0,,30.0,50.0,65.0,50.0,50.0,60.0,55.0,55.0,,,25.0,65.0,40.0,65.0,,,50.0,45.0,55.0,65.0,,,10.0,55.0,55.0,45.0,55.0,50.0,65.0,,35.0,,30.0,50.0,75.0,60.0,45.0,30.0,60.0,30.0,,,,,,,,,,,,25.0,40.0,35.0,55.0,60.0,55.0,40.0,45.0,60.0,50.0,40.0,60.0,35.0,60.0,50.0,30.0,40.0
000036.SZ,40.0,60.0,35.0,65.0,35.0,50.0,35.0,55.0,50.0,45.0,35.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000037.SZ,60.0,75.0,40.0,60.0,35.0,50.0,50.0,50.0,60.0,50.0,25.0,55.0,65.0,45.0,40.0,30.0,45.0,30.0,50.0,55.0,45.0,50.0,45.0,55.0,,,,,,,,,70.0,40.0,45.0,60.0,55.0,35.0,45.0,55.0,60.0,45.0,50.0,60.0,55.0,70.0,60.0,45.0,45.0,50.0,40.0,60.0,,,,,,,,70.0,45.0,60.0,50.0,35.0,45.0,60.0,35.0,35.0,30.0,45.0,45.0,40.0,35.0,55.0,55.0,45.0,50.0,35.0,60.0,40.0,35.0,40.0,70.0,35.0,50.0,65.0,70.0,30.0,45.0,65.0,50.0,55.0,50.0,35.0,20.0
000038.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,55.0,55.0,60.0,50.0,50.0,30.0,40.0,50.0,35.0,,,,,,,35.0,45.0,35.0,,,,,,,,40.0,40.0,45.0,20.0,35.0,60.0,60.0,50.0,20.0,40.0,35.0,65.0,30.0,45.0,40.0
000039.SZ,50.0,50.0,50.0,50.0,45.0,50.0,,,55.0,45.0,45.0,70.0,55.0,50.0,35.0,35.0,60.0,40.0,50.0,45.0,50.0,55.0,55.0,55.0,50.0,45.0,50.0,40.0,55.0,50.0,65.0,45.0,55.0,55.0,55.0,60.0,35.0,50.0,65.0,60.0,55.0,55.0,60.0,40.0,45.0,60.0,45.0,55.0,45.0,55.0,50.0,40.0,45.0,55.0,50.0,50.0,50.0,60.0,55.0,50.0,60.0,55.0,50.0,40.0,50.0,60.0,60.0,50.0,40.0,60.0,50.0,65.0,45.0,55.0,40.0,35.0,75.0,35.0,40.0,40.0,65.0,50.0,60.0,45.0,60.0,50.0,65.0,35.0,40.0,50.0,50.0,50.0,40.0,40.0,65.0
000042.SZ,50.0,65.0,40.0,55.0,,50.0,50.0,35.0,60.0,60.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000045.SZ,55.0,30.0,45.0,40.0,55.0,35.0,35.0,65.0,40.0,60.0,40.0,55.0,50.0,60.0,45.0,55.0,55.0,30.0,55.0,55.0,45.0,55.0,55.0,55.0,,,,,,25.0,60.0,60.0,65.0,50.0,55.0,30.0,60.0,55.0,60.0,65.0,50.0,50.0,50.0,55.0,55.0,60.0,55.0,60.0,50.0,45.0,60.0,65.0,50.0,55.0,45.0,,,,,,40.0,55.0,45.0,35.0,55.0,65.0,40.0,70.0,55.0,60.0,35.0,45.0,40.0,35.0,50.0,40.0,45.0,60.0,60.0,50.0,55.0,55.0,65.0,45.0,30.0,50.0,65.0,45.0,35.0,60.0,55.0,55.0,35.0,40.0,40.0
000048.SZ,40.0,50.0,40.0,40.0,55.0,30.0,50.0,35.0,45.0,55.0,35.0,50.0,55.0,55.0,40.0,45.0,65.0,30.0,45.0,55.0,55.0,65.0,30.0,60.0,55.0,40.0,35.0,45.0,45.0,50.0,65.0,45.0,50.0,40.0,60.0,50.0,55.0,65.0,60.0,65.0,60.0,55.0,50.0,55.0,,,,55.0,55.0,50.0,50.0,45.0,50.0,40.0,30.0,40.0,30.0,35.0,55.0,,,,40.0,35.0,45.0,40.0,40.0,40.0,35.0,40.0,35.0,30.0,45.0,55.0,55.0,40.0,,,50.0,,40.0,50.0,55.0,30.0,40.0,55.0,55.0,40.0,30.0,45.0,50.0,80.0,50.0,30.0,40.0
000049.SZ,50.0,,,35.0,60.0,65.0,40.0,40.0,45.0,45.0,30.0,65.0,45.0,55.0,65.0,50.0,50.0,45.0,45.0,50.0,45.0,60.0,60.0,60.0,30.0,30.0,50.0,60.0,55.0,40.0,50.0,55.0,50.0,50.0,50.0,45.0,70.0,60.0,45.0,60.0,60.0,50.0,60.0,50.0,60.0,65.0,65.0,35.0,40.0,40.0,55.0,45.0,55.0,65.0,35.0,60.0,45.0,50.0,40.0,55.0,50.0,65.0,65.0,60.0,45.0,55.0,60.0,45.0,40.0,50.0,35.0,35.0,30.0,40.0,40.0,45.0,50.0,50.0,50.0,40.0,50.0,45.0,50.0,50.0,45.0,60.0,55.0,55.0,40.0,45.0,65.0,45.0,55.0,35.0,45.0
000050.SZ,45.0,65.0,40.0,40.0,60.0,40.0,35.0,60.0,55.0,60.0,35.0,75.0,55.0,60.0,60.0,50.0,55.0,30.0,40.0,55.0,,,35.0,45.0,65.0,65.0,50.0,55.0,60.0,55.0,55.0,75.0,30.0,40.0,45.0,60.0,,55.0,60.0,55.0,65.0,45.0,50.0,60.0,55.0,55.0,60.0,55.0,50.0,55.0,55.0,45.0,55.0,45.0,55.0,65.0,,,,,,,,35.0,40.0,65.0,60.0,60.0,45.0,60.0,,40.0,40.0,40.0,45.0,50.0,55.0,35.0,40.0,50.0,60.0,55.0,40.0,35.0,45.0,60.0,50.0,45.0,45.0,40.0,50.0,50.0,55.0,55.0,60.0
000055.SZ,50.0,60.0,35.0,50.0,45.0,25.0,45.0,50.0,60.0,40.0,50.0,55.0,50.0,50.0,60.0,35.0,55.0,40.0,40.0,50.0,45.0,45.0,60.0,45.0,50.0,55.0,50.0,45.0,50.0,65.0,60.0,35.0,55.0,70.0,65.0,30.0,40.0,55.0,60.0,60.0,65.0,40.0,40.0,55.0,60.0,80.0,45.0,55.0,40.0,55.0,65.0,70.0,55.0,70.0,35.0,40.0,50.0,60.0,55.0,50.0,55.0,30.0,40.0,35.0,35.0,50.0,60.0,45.0,40.0,45.0,55.0,45.0,65.0,55.0,55.0,45.0,45.0,55.0,55.0,35.0,50.0,25.0,55.0,30.0,65.0,55.0,60.0,50.0,50.0,45.0,50.0,50.0,45.0,50.0,25.0
000056.SZ,40.0,55.0,25.0,40.0,60.0,50.0,30.0,30.0,50.0,50.0,30.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,60.0,30.0,35.0,55.0
000058.SZ,,,,,,,,15.0,50.0,55.0,45.0,55.0,55.0,55.0,55.0,40.0,60.0,30.0,45.0,50.0,65.0,65.0,60.0,45.0,45.0,55.0,35.0,45.0,45.0,50.0,60.0,,55.0,55.0,60.0,60.0,65.0,50.0,60.0,60.0,55.0,50.0,40.0,50.0,60.0,70.0,,,,,55.0,45.0,50.0,60.0,50.0,60.0,45.0,45.0,40.0,50.0,50.0,65.0,35.0,45.0,40.0,65.0,45.0,55.0,50.0,45.0,35.0,40.0,40.0,55.0,45.0,35.0,50.0,40.0,65.0,50.0,30.0,45.0,65.0,50.0,40.0,65.0,60.0,35.0,45.0,40.0,60.0,65.0,35.0,45.0,45.0
000059.SZ,45.0,65.0,40.0,40.0,50.0,,40.0,40.0,50.0,60.0,35.0,55.0,50.0,60.0,40.0,30.0,55.0,15.0,50.0,45.0,50.0,40.0,60.0,35.0,45.0,60.0,40.0,50.0,45.0,50.0,55.0,50.0,50.0,50.0,50.0,50.0,65.0,45.0,45.0,55.0,50.0,35.0,45.0,50.0,55.0,60.0,40.0,50.0,30.0,55.0,65.0,60.0,50.0,50.0,45.0,45.0,45.0,50.0,45.0,60.0,55.0,60.0,45.0,45.0,40.0,55.0,60.0,55.0,35.0,45.0,50.0,55.0,55.0,55.0,50.0,40.0,45.0,50.0,55.0,35.0,50.0,45.0,55.0,30.0,45.0,60.0,60.0,55.0,35.0,55.0,60.0,30.0,35.0,45.0,45.0
000060.SZ,40.0,55.0,35.0,40.0,40.0,40.0,55.0,35.0,55.0,40.0,55.0,70.0,60.0,50.0,50.0,45.0,50.0,15.0,40.0,50.0,50.0,50.0,40.0,35.0,25.0,40.0,50.0,35.0,50.0,60.0,55.0,40.0,50.0,50.0,55.0,55.0,55.0,45.0,55.0,60.0,65.0,50.0,35.0,40.0,55.0,65.0,65.0,50.0,40.0,50.0,35.0,40.0,45.0,60.0,50.0,55.0,45.0,60.0,50.0,50.0,55.0,55.0,45.0,40.0,40.0,55.0,65.0,65.0,45.0,50.0,50.0,50.0,55.0,55.0,50.0,55.0,45.0,50.0,50.0,45.0,35.0,50.0,40.0,35.0,30.0,55.0,55.0,35.0,55.0,40.0,60.0,30.0,40.0,50.0,35.0
000061.SZ,40.0,65.0,35.0,50.0,,,35.0,45.0,50.0,40.0,35.0,50.0,40.0,50.0,45.0,55.0,65.0,35.0,55.0,50.0,55.0,45.0,40.0,30.0,40.0,40.0,50.0,,35.0,40.0,55.0,50.0,60.0,45.0,50.0,60.0,50.0,60.0,50.0,70.0,60.0,45.0,50.0,45.0,40.0,45.0,65.0,50.0,45.0,40.0,50.0,45.0,50.0,50.0,55.0,45.0,55.0,50.0,65.0,45.0,55.0,40.0,35.0,25.0,45.0,,,,,40.0,45.0,60.0,40.0,40.0,65.0,45.0,55.0,45.0,45.0,50.0,40.0,,40.0,50.0,55.0,65.0,55.0,30.0,60.0,40.0,45.0,50.0,45.0,45.0,40.0
000062.SZ,35.0,65.0,35.0,55.0,65.0,35.0,30.0,50.0,40.0,55.0,35.0,50.0,50.0,55.0,60.0,35.0,65.0,30.0,60.0,50.0,55.0,65.0,50.0,65.0,45.0,50.0,50.0,,,40.0,55.0,55.0,60.0,50.0,65.0,50.0,55.0,65.0,,,,55.0,60.0,35.0,50.0,70.0,50.0,60.0,50.0,50.0,55.0,35.0,60.0,50.0,45.0,55.0,45.0,55.0,,35.0,35.0,55.0,35.0,40.0,65.0,45.0,50.0,65.0,50.0,45.0,50.0,30.0,35.0,45.0,60.0,60.0,55.0,40.0,60.0,55.0,60.0,35.0,45.0,30.0,45.0,50.0,55.0,45.0,,25.0,45.0,50.0,50.0,35.0,45.0
000063.SZ,40.0,55.0,40.0,45.0,30.0,45.0,50.0,40.0,65.0,40.0,55.0,60.0,45.0,50.0,55.0,45.0,45.0,45.0,40.0,55.0,50.0,45.0,55.0,40.0,45.0,35.0,35.0,55.0,50.0,50.0,60.0,55.0,60.0,55.0,60.0,30.0,50.0,50.0,55.0,65.0,60.0,45.0,55.0,40.0,55.0,60.0,50.0,65.0,60.0,50.0,,50.0,45.0,60.0,50.0,35.0,70.0,65.0,60.0,50.0,50.0,65.0,30.0,30.0,55.0,70.0,50.0,55.0,60.0,80.0,50.0,55.0,35.0,55.0,55.0,,,10.0,55.0,70.0,50.0,45.0,55.0,45.0,45.0,55.0,40.0,50.0,45.0,55.0,55.0,35.0,50.0,65.0,50.0
