code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,19.8595,19.8595,19.2441,18.2724,18.2724,18.2724,18.2724,17.6616,17.6616,17.6095,17.6095,17.6095,17.6095,17.6095,16.9537,16.5432,16.5432,16.5432,16.5432,17.0828,17.0828,17.3552,17.3552,17.3552,17.3552,17.3552,15.4724,17.6264,17.6264,17.6264,17.6264,17.2894,17.2894,17.5241,17.5241,17.5241,17.5241,17.5241,16.2959,16.8248,16.8248,16.8248,16.8248,16.4426,16.4426,16.4211,16.4211,16.4211,16.4211,16.4211,14.953,13.948,13.948,13.948,13.948,13.9208,13.9208,13.8764,13.8764,13.8764,13.8764,13.8764,12.4283,12.1276,12.1276,12.1276,12.1276,12.1404,12.1404,12.1525,12.1525,12.1525,12.1525,12.1525,10.9324,11.8444,11.8444,11.8444,11.8444,11.881,11.881,11.9289,11.9289,11.9289,11.9289,11.9289,10.7415,12.1324,12.1324,12.1324,12.1324,12.4056,12.4056,11.9272,11.9272
000002.SZ,10.4875,10.4875,19.8042,10.4052,10.4052,10.4052,10.4052,13.788,13.788,12.3949,12.3949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,14.2083,14.2083,14.2083,11.0844,11.0844,11.0844,11.0844,17.8084,17.8084,15.3077,15.3077,15.3077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,0.1829,4.8244,4.8244,0.7048,0.7048,0.7048,0.7048,4.5188,,5.0763,5.0763,5.0763,5.0763,5.0763,5.0763,-12.9036,-12.9036,-12.9036,-12.9036,0.7612,0.7612,17.9685,17.9685,17.9685,17.9685,17.9685,17.9685,-7.1424,,,,,-2.1604,-2.4688,-2.4688,-2.4688,-2.4688,-2.4688,-2.4688,-2.4688,,,,,,,,,,,,,,,,5.77,5.77,6.1552,6.1552,6.1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,-0.7924,,,-0.156,-0.156,-0.156,-0.156,0.1436,0.1436,0.1555,0.1555,0.1555,0.1555,0.1555,12.7314,2.9104,2.9104,2.9104,2.9104,3.862,3.862,4.1323,4.1323,4.1323,4.1323,4.1323,4.1213,3.3936,3.3936,,,,,2.2925,2.2925,2.2925,2.2925,1.3688,,,,,13.4928,8.3262,8.3262,8.3262,7.5405,7.5405,7.5405,7.5405,7.5405,10.6726,1.0904,1.0904,1.0904,1.9648,1.9648,,6.6371,6.6371,6.6371,6.6371,6.6371,0.61,0.61,0.61,0.61,1.8156,1.8156,1.8156,2.6312,2.6312,2.6312,2.6312,2.6312,,0.5916,,,1.7358,1.7358,2.3189,2.3189,2.3189,2.3189,2.3189,2.3189,0.6416,0.6416,0.6416,0.6416,1.8158,1.8158,2.7261,2.7261
000009.SZ,12.0027,12.0027,12.0027,4.9204,4.9204,4.9204,4.9204,3.829,3.829,2.8331,2.8331,2.8331,2.8331,2.8331,2.8331,3.3544,3.3544,3.3544,3.3544,2.071,2.071,13.18,13.18,13.18,13.18,13.18,13.18,9.2316,,,,,14.06,10.5359,10.5359,,10.5359,10.5359,10.5359,6.348,6.348,6.348,,,6.7546,6.7546,23.402,23.402,23.402,23.402,23.402,2.7088,2.7088,2.7088,2.7088,3.2312,3.2312,6.2529,6.2529,6.2529,6.2529,6.2529,6.2529,2.9748,2.9748,2.9748,2.9748,3.556,3.556,5.2755,5.2755,5.2755,5.2755,5.2755,5.2755,2.8156,2.8156,2.8156,2.8156,4.5596,4.5596,2.6067,2.6067,2.6067,2.6067,2.6067,2.6067,2.6067,5.0068,5.0068,5.0068,5.0068,5.2038,5.0205,5.0205
000010.SZ,,,,-15.6328,-15.6328,-15.6328,-15.6328,,,-15.2243,-15.2243,,,,,,,,,,,3.448,3.448,3.448,3.448,3.448,3.448,-3.7228,-3.7228,-3.7228,-3.7228,-2.0778,-2.0778,-3.0005,-3.0005,,,,,,,-1.5912,-1.5912,0.5942,0.5942,0.6732,0.6732,0.6732,0.6732,0.6732,0.6732,-6.0772,-6.0772,-6.0772,-6.0772,2.4124,2.4124,1.3423,1.3423,1.3423,1.3423,1.3423,1.3423,-4.6452,-4.6452,-4.6452,-4.6452,-4.1672,-4.1672,0.7635,0.7635,0.7635,0.7635,0.7635,0.7635,-16.468,-16.468,-16.468,-16.468,-16.468,-15.2712,-24.1624,-24.1624,-24.1624,-24.1624,-24.1624,-24.1624,-92.9688,2.7392,2.7392,2.7392,4.8212,4.8212,4.8212,13.5287
000011.SZ,39.7596,39.7596,25.6892,1.928,1.928,1.928,1.928,16.692,16.692,16.692,19.1477,19.1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,22.4795,22.4795,17.7231,6.956,6.956,6.956,,7.182,7.182,7.7524,7.7524,7.7524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,4.0279,4.0279,10.669,-1.804,-1.804,-1.804,-1.804,-3.8866,-3.8866,-3.8866,-4.2473,-4.2473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000016.SZ,-5.6055,-5.6055,-5.6055,1.034,1.034,1.034,1.034,0.5724,0.5724,0.5609,0.5609,0.5609,0.5609,0.5609,0.5609,1.4064,1.4064,1.4064,1.4064,1.4064,1.9978,1.3655,1.3655,1.3655,1.3655,1.3655,1.3655,0.9324,0.9324,0.9324,0.9324,2.2136,2.2136,1.5557,1.5557,1.5557,1.5557,1.5557,1.5557,0.7548,,,,,-15.0334,-30.9629,-30.9629,-30.9629,-30.9629,-30.9629,,1.196,1.196,1.196,1.196,0.912,0.912,-2.1247,-2.1247,-2.1247,-2.1247,-2.1247,-2.1247,3.6004,3.6004,3.6004,3.6004,2.118,2.118,5.7788,5.7788,5.7788,5.7788,5.7788,5.7788,2.7784,2.7784,2.7784,2.7784,2.7784,8.5796,8.5796,7.1595,7.1595,7.1595,7.1595,5.1095,5.1095,4.1948,4.1948,4.1948,8.6334,8.6334,8.6334,7.3075
000017.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.74,19.74,19.74,19.74,47.2164,47.2164,51.898,51.898,51.898,51.898,51.898,51.898,51.682,9.048,9.048,9.048,6.8724,6.8724,5.8943,5.8943,5.8943,5.8943,5.8943,5.8943,4.9452,4.9452,4.9452,,7.4794,7.4794,21.6636,21.6636,21.6636,21.6636,,21.6636,5.8672,5.8672,5.8672,5.8672,-25.0148,-25.0148,-13.2828,-13.2828,-13.2828,-13.2828,-13.2828,-13.2828,5.7944,5.7944,5.7944,5.7944,6.852,6.852,8.7967,8.7967,8.7967,8.7967,8.7967,8.7967,-10.5412,-10.388,-10.388,-10.388,-11.49,-11.49,2.2292,2.2292
000018.SZ,-12.23,-12.23,-12.23,-0.784,-0.784,-0.784,-0.784,-7.164,-7.164,-7.0748,-7.0748,-7.0748,-7.0748,-7.0748,-7.0748,-9.0668,-9.0668,-9.0668,-9.0668,-7.08,-7.08,-0.5995,-0.5995,-0.5995,-0.5995,-0.5995,6.7013,-3.6392,-3.6392,,,,,1.2313,1.2313,1.2313,1.2313,3.3316,3.3316,3.3316,,-1.1924,-1.1924,-1.1924,-0.9292,-0.9292,65.1293,65.1293,65.1293,65.1293,65.1293,49.0475,23.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000019.SZ,6.8175,6.8175,6.8175,,,,-1.6452,19.0252,19.0252,12.2436,12.2436,,,12.2436,12.2436,0.46,0.46,0.46,0.46,-1.268,-1.268,7.4831,7.4831,7.4831,7.4831,7.4831,4.537,-2.5648,-2.5648,-2.5648,-2.5648,-4.9364,-4.9364,-4.7937,-4.7937,-4.7937,-4.7937,-4.7937,-4.7937,-3.9448,-3.9448,-3.9448,-3.9448,1.0924,1.0924,-1.1351,-1.1351,-1.1351,-1.1351,-1.1351,-1.1351,-2.652,-2.652,-2.652,-2.652,-3.2538,-3.2538,-3.9861,-3.9861,-3.9861,-3.9861,-3.9861,-3.9861,-3.8636,-3.8636,-3.8636,-3.8636,,,,,,,,,-4.5956,-4.5956,-4.5956,-4.5956,-3.8914,-3.8914,-4.2884,-4.2884,-4.2884,-4.2884,-4.2884,-4.2884,11.4644,11.4644,11.4644,11.4644,9.6368,9.6368,10.2623,10.2623
000020.SZ,4.4577,4.4577,4.4577,6.7724,6.7724,6.7724,6.7724,4.5876,4.5876,2.9951,2.9951,2.9951,2.9951,2.9951,2.9951,1.1664,1.1664,1.1664,1.1664,1.3998,1.3998,0.384,0.384,0.384,0.384,0.384,0.384,,1.0144,,,,,,,,,,,0.7272,0.7272,0.7272,,9.8304,9.8304,9.1504,9.1504,9.1504,,,9.1504,9.1504,0.6,0.6,0.6,0.6,4.6172,1.916,1.916,1.916,1.916,1.916,1.916,0.5268,,,,,1.3384,1.3384,0.1452,0.1452,0.1452,0.1452,0.1452,0.3832,0.3832,0.3832,0.3832,1.7344,1.7344,0.2067,0.2067,0.2067,0.2067,0.2067,0.2067,0.2067,0.3188,0.3188,0.3188,1.5866,1.5866,1.3825,1.3825
000021.SZ,6.0069,6.0069,6.1038,4.48,4.48,4.48,4.48,4.48,3.303,2.3692,2.3692,2.3692,2.3692,2.3692,2.3283,3.2648,3.2648,3.2648,3.2648,4.3834,4.3834,4.3834,5.0049,5.0049,5.0049,5.0049,5.0049,5.2073,-9.6376,-9.6376,-9.6376,-0.3596,-0.3596,-0.3596,3.7267,3.7267,3.7267,3.7267,3.5821,4.088,,4.088,,5.4418,5.4418,3.7268,3.7268,3.7268,3.7268,3.7268,3.7268,11.4688,11.4688,11.4688,11.4688,11.4688,8.2882,8.2882,7.6545,7.6545,7.6545,7.6545,7.6545,8.572,8.572,8.572,8.572,11.2466,11.2466,11.2466,11.2988,11.2988,11.2988,11.2988,11.2988,5.838,5.838,5.838,5.838,5.8576,5.8576,5.8576,9.7663,9.7663,9.7663,9.7663,9.7663,8.7308,6.5436,6.5436,6.5436,6.5436,4.755,4.755,5.6988
000024.SZ,14.4864,14.4864,13.42,8.3252,8.3252,8.3252,8.3252,11.7036,11.7036,15.0308,15.0308,15.0308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000025.SZ,-1.2497,-1.2497,-1.2497,-5.0268,-5.0268,-5.0268,-5.0268,-9.9858,-9.9858,-5.6351,-5.6351,-5.6351,-5.6351,-5.6351,-5.6351,9.7044,9.7044,9.7044,9.7044,4.0192,4.0192,13.8873,13.8873,13.8873,13.8873,13.8873,,,6.8644,6.8644,6.8644,5.5466,5.5466,2.9404,2.9404,2.9404,2.9404,2.9404,2.9404,0.6192,0.6192,0.6192,0.6192,2.9858,,4.8123,4.8123,4.8123,4.8123,4.8123,4.8123,2.8292,2.8292,,2.8292,4.0472,4.0472,3.9663,3.9663,3.9663,3.9663,3.9663,3.9663,2.0032,2.0032,2.0032,2.0032,2.0032,5.4168,5.4168,5.9092,5.9092,5.9092,5.9092,5.9092,6.6308,6.6308,6.6308,6.6308,5.5124,5.5124,4.8704,4.8704,4.8704,4.8704,4.8704,4.8704,8.6343,6.804,6.804,6.804,8.3498,8.3498,8.3498,7.89
000026.SZ,13.862,12.0028,12.0028,10.0676,10.0676,10.0676,10.0676,9.3764,9.3764,8.9716,8.9716,8.9716,8.9716,8.9716,8.176,9.4996,9.4996,9.4996,9.4996,9.341,9.341,9.4517,9.4517,9.4517,9.4517,9.4517,8.7241,11.3464,11.3464,11.3464,11.3464,11.3034,11.3034,10.7111,10.7111,10.7111,10.7111,10.7111,9.186,10.8508,10.8508,10.8508,10.8508,8.8408,8.8408,8.5167,8.5167,8.5167,8.5167,8.5167,6.1894,4.7068,4.7068,4.7068,4.7068,5.234,5.234,6.1828,6.1828,6.1828,6.1828,6.1828,4.7387,7.5652,7.5652,7.5652,7.5652,7.2366,7.2366,7.5275,7.5275,7.5275,7.5275,7.5275,5.7949,9.5352,9.5352,9.5352,9.5352,8.9058,8.9058,8.6423,8.6423,8.6423,8.6423,8.6423,7.2978,9.8972,9.8972,9.8972,9.8972,9.403,9.403,9.1675,9.1675
000027.SZ,9.3441,9.3441,9.3441,6.194,6.194,6.194,6.194,,,7.6011,7.6011,7.6011,7.6011,7.6011,7.6011,6.0612,6.0612,6.0612,6.0612,8.3058,8.3058,9.3188,9.3188,9.3188,9.3188,9.3188,9.2295,9.9396,9.9396,9.9396,9.9396,12.5398,12.5398,12.2653,12.2653,12.2653,12.2653,12.2653,11.955,8.1284,8.1284,8.1284,8.1284,10.308,10.308,10.9901,10.9901,10.9901,10.9901,10.9901,10.9901,9.083,3.7884,3.7884,3.7884,7.993,7.993,8.2731,8.2731,8.2731,8.2731,8.2731,8.2731,2.0736,2.0736,2.0736,2.0736,3.7332,3.7332,3.7332,4.8888,4.8888,4.8888,4.8888,4.8888,1.146,1.146,1.146,1.146,5.0762,5.0762,5.0762,3.7953,3.7953,3.7953,3.7953,3.7953,3.0416,5.8132,5.8132,5.8132,8.1668,8.1668,8.1668,8.4531
000028.SZ,28.3248,28.3248,27.496,,34.5856,34.5856,34.5856,33.124,33.124,31.6671,31.6671,31.6671,31.6671,31.6671,30.4394,31.0964,31.0964,31.0964,31.0964,27.737,27.737,27.1453,27.1453,27.1453,27.1453,27.1453,25.8904,20.3836,20.3836,20.3836,20.3836,20.8408,20.8408,19.7948,19.7948,19.7948,19.7948,19.7948,18.6179,16.2056,16.2056,16.2056,16.2056,15.7382,15.7382,,,,,,,14.3368,14.3368,14.3368,14.3368,19.1222,19.1222,16.7305,16.7305,16.7305,16.7305,16.7305,16.7305,12.6976,12.6976,12.6976,12.6976,12.8476,12.8476,12.1963,12.1963,12.1963,12.1963,12.1963,11.8542,12.27,12.27,12.27,12.27,13.2954,13.2954,12.1097,12.1097,12.1097,12.1097,12.1097,12.1097,10.2016,10.2016,10.2016,10.2016,10.9574,10.9574,10.6593,10.6593
000029.SZ,7.8508,7.8508,7.8508,5.7256,5.7256,5.7256,5.7256,5.7256,5.1768,5.1768,5.4192,5.4192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000030.SZ,,,,-158.9236,-158.9236,-158.9236,-158.9236,-223.2156,-223.2156,,,-273.0919,-1871.884,-1871.884,-1871.884,32.4716,32.4716,32.4716,32.4716,32.1292,32.1292,29.6291,29.6291,29.6291,29.6291,29.6291,29.6291,29.6291,15.7988,15.7988,15.7988,16.861,16.861,16.1001,16.1001,16.1001,16.1001,16.1001,16.1001,14.7852,14.7852,14.7852,14.7852,13.1582,13.1582,10.9324,10.9324,10.9324,10.9324,10.9324,10.9324,13.1576,13.1576,13.1576,13.1576,15.4642,15.4642,15.4642,14.2705,14.2705,14.2705,14.2705,14.2705,16.7272,16.7272,16.7272,16.7272,17.1932,17.1932,16.0033,16.0033,16.0033,16.0033,16.0033,16.0033,15.6264,15.6264,15.6264,15.6264,16.4132,16.4132,14.7985,14.7985,14.7985,14.7985,14.7985,14.7985,14.7985,12.7132,12.7132,12.7132,13.445,13.445,12.8809,12.8809
000031.SZ,3.6755,3.6755,9.2327,4.7028,4.7028,4.7028,4.7028,2.7466,2.7466,1.1101,1.1101,1.1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000032.SZ,3.2053,3.2053,3.2053,-5.5608,-5.5608,-5.5608,-5.5608,-2.9952,-2.9952,-2.9952,-2.0161,-2.0161,-2.0161,-2.0161,-2.0161,4.7392,4.7392,4.7392,4.7392,4.3136,4.3136,3.0095,3.0095,3.0095,3.0095,3.0095,3.0095,-2.3556,,,,,,,,-1.8533,-1.8533,-1.8533,2.4703,0.2176,0.2176,0.2176,-0.7984,-0.7984,-0.7984,8.8943,8.8943,8.8943,8.8943,8.8943,8.8943,4.9528,4.9528,4.9528,4.9528,5.4942,5.4942,5.418,5.418,5.418,5.418,,,,,,,,3.5132,4.1275,4.1275,,4.1275,4.1275,4.1275,7.404,7.404,7.404,7.404,8.666,8.666,7.9396,7.9396,7.9396,7.9396,7.9396,7.9396,7.9644,7.9644,7.9644,7.9644,7.6006,7.6006,8.3675,8.3675
000033.SZ,-2.1023,-2.1023,0.9628,-4.7684,-4.7684,-4.7684,-4.6862,-4.6862,-4.6862,-4.0756,-4.0756,,-4.0756,-4.0756,-9.0614,-7.3268,-7.3268,-7.3268,-2.1912,-2.1912,-2.1912,-3.6979,-3.6979,-3.6979,-3.6979,-3.6979,-3.6979,,-8.6288,-8.6288,-8.6288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3604,18.3604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000034.SZ,23.5665,23.5665,21.937,-4.248,-4.248,-4.248,-4.248,-6.0046,-6.0046,-3.4883,-3.4883,-3.4883,-3.4883,-3.4883,4.5982,-5.9884,-5.9884,,-5.9884,10.9996,10.9996,8.4797,8.4797,8.4797,8.4797,8.4797,17.161,-1.1972,-1.1972,-1.1972,78.8548,78.8548,78.8548,55.0675,55.0675,55.0675,55.0675,55.0675,,,,,,,25.7284,19.7624,19.7624,,,,,,-1.8584,,-1.8584,37.691,37.691,32.2109,32.2109,32.2109,32.2109,32.2109,,,,,,14.8424,,,,,,,,,,13.1096,13.1096,15.4188,15.4188,13.0709,13.0709,13.0709,13.0709,13.0709,14.2504,13.9928,13.9928,13.9928,13.9928,13.9928,20.0924,16.9293,16.9293
000035.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53.7776,-53.7776,-53.7776,-53.7776,25.004,25.004,16.9041,16.9041,,,16.9041,16.9041,8.6976,8.6976,,,8.0558,8.0558,9.5827,9.5827,,,9.5827,13.1428,7.74,7.74,7.74,7.74,7.6312,,7.6312,,9.3952,9.3952,9.3952,9.3952,4.3956,4.3956,4.3956,4.3956,,,,,,,,,,,,3.048,5.6962,5.6962,7.1599,7.1599,7.1599,7.1599,7.1599,7.1599,5.726,5.726,5.726,5.726,5.726,6.5188,6.5188,7.9063
000036.SZ,5.2995,5.2995,5.2995,8.1544,8.1544,8.1544,8.1544,4.645,4.645,3.2919,3.2919,3.2919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000037.SZ,-11.4867,-11.4867,-11.4867,-15.9148,-15.9148,-15.9148,-15.9148,-12.4362,-12.4362,-16.0933,-16.0933,-16.0933,-16.0933,-16.0933,-16.0933,-16.9676,-16.9676,-16.9676,-16.9676,-13.5548,-13.5548,-18.0891,-18.0891,-18.0891,,,,,,,,,-9.626,-7.6411,-7.6411,-7.6411,-7.6411,-7.6411,-7.6411,-28.8492,-28.8492,-28.8492,-28.8492,-16.8204,-16.8204,-7.8619,-7.8619,-7.8619,-7.8619,-7.8619,-7.8619,-30.2076,,,,,,,,-14.1648,-14.1648,-14.1648,101.3444,-5.6792,-5.6792,-5.6792,-5.6792,-2.3432,-2.3432,-0.148,-0.148,-0.148,-0.148,-0.148,0.8153,-2.238,-2.238,-2.238,-2.238,3.0414,3.0414,2.5069,2.5069,2.5069,2.5069,2.5069,0.9782,-5.7796,-5.7796,-5.7796,-5.7796,-2.573,-2.573,0.5733,0.5733
000038.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7536,7.0472,7.0472,7.0472,5.7709,5.7709,5.7709,5.7709,5.7709,7.366,,,,,,,6.8541,6.8541,6.8541,,,,,,,,4.455,4.455,5.4364,5.4364,5.4364,5.4364,5.4364,5.4364,0.7256,0.7256,0.7256,0.8266,0.8266,0.8266,0.1471
000039.SZ,25.4831,25.4831,21.178,7.9908,7.9908,7.9908,,,10.081,11.2043,11.2043,11.2043,11.2043,11.2043,10.1665,4.4876,4.4876,4.4876,4.4876,5.6444,5.6444,6.5724,6.5724,6.5724,6.5724,6.5724,10.8508,2.464,2.464,2.464,2.464,9.9442,9.9442,10.2308,10.2308,10.2308,10.2308,10.2308,11.5342,8.818,8.818,8.818,8.818,12.8152,12.8152,9.5735,9.5735,9.5735,9.5735,9.5735,7.7668,5.7016,5.7016,5.7016,5.7016,5.7016,-2.6922,-0.8963,-0.8963,-0.8963,-0.8963,-0.8963,1.8665,6.89,6.89,6.89,6.89,5.3928,5.3928,5.8297,5.8297,5.8297,5.8297,5.8297,8.1275,5.4584,5.4584,5.4584,5.4584,6.1174,6.1174,9.5373,9.5373,9.5373,9.5373,9.5373,9.688,9.688,4.2492,4.2492,4.2492,3.6106,3.6106,2.2467,2.2467
000042.SZ,11.2059,11.2059,11.2059,31.692,,31.692,31.692,17.6878,17.6878,18.4048,18.4048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000045.SZ,4.1501,4.1501,3.6026,2.4928,2.4928,2.4928,2.4928,-2.7454,-2.7454,-6.0227,-6.0227,-6.0227,-6.0227,-6.0227,-6.0606,-1.0824,-1.0824,-1.0824,-1.0824,-0.409,-0.409,0.5556,0.5556,0.5556,,,,,,-1.9172,-1.9172,-1.8976,-1.8976,-2.2403,-2.2403,-2.2403,-2.2403,-2.2403,-2.2403,0.7928,0.7928,0.7928,0.7928,0.7018,0.7018,0.3776,0.3776,0.3776,0.3776,0.3776,0.3776,-1.89,-1.89,-1.89,-1.89,,,,,,-3.254,-3.254,-3.254,0.7348,0.7348,0.7348,0.7348,1.2322,1.2322,1.9071,1.9071,1.9071,1.9071,1.9071,2.2282,0.936,0.936,0.936,0.936,0.8026,0.8026,0.6801,0.6801,0.6801,0.6801,0.6801,0.6801,1.6928,1.6928,1.6928,1.6928,0.6324,0.6324,0.6324,0.9076
000048.SZ,,,,3.6,3.6,3.6,3.6,14.6662,14.6662,10.8704,10.8704,10.8704,10.8704,10.8704,10.8704,1.3268,1.3268,1.3268,1.3268,16.5984,16.5984,11.7617,11.7617,11.7617,11.7617,11.7617,11.7617,-2.2143,3.1824,3.1824,3.1824,2.7466,2.7466,3.8727,3.8727,3.8727,3.8727,3.8727,3.8727,24.7375,4.59,4.59,4.59,48.9142,,,,37.5824,37.5824,37.5824,37.5824,33.0513,4.1912,4.1912,4.1912,4.02,4.02,4.02,5.4515,,,,5.4515,-10.248,-10.248,-10.248,-10.248,-8.9482,-8.9482,-8.9482,-8.8099,-8.8099,-8.8099,-8.8099,-8.8099,-8.8099,,,-8.8099,,-14.6958,-14.6958,14.2017,14.2017,14.2017,14.2017,14.2017,54.9298,41.4096,41.4096,41.4096,41.4096,27.365,27.365,34.0301
000049.SZ,34.7561,,,43.4592,43.4592,43.4592,43.4592,29.859,29.859,34.7149,34.7149,34.7149,34.7149,34.7149,34.7149,44.674,44.674,44.674,44.674,36.8996,36.8996,37.4859,37.4859,37.4859,37.4859,45.6301,45.6301,35.464,35.464,35.464,35.464,30.7302,30.7302,32.3999,32.3999,32.3999,32.3999,32.3999,36.7709,30.648,30.648,30.648,30.648,29.5216,29.5216,28.5636,28.5636,28.5636,28.5636,28.5636,27.528,16.3544,16.3544,16.3544,16.3544,15.2422,15.2422,18.1064,18.1064,18.1064,18.1064,18.1064,24.4718,23.202,23.202,23.202,23.202,19.2724,19.2724,19.2724,20.2985,20.2985,20.2985,20.2985,23.4739,21.0872,21.0872,21.0872,21.0872,18.4618,18.4618,24.1489,24.1489,24.1489,24.1489,24.1489,24.1489,24.1489,15.2256,15.2256,15.2256,18.8728,18.8728,23.7257,23.7257
000050.SZ,5.2939,7.9822,7.9822,-2.1964,-2.1964,-2.1964,-2.1964,1.6388,1.6388,5.9135,5.9135,5.9135,5.9135,5.9135,4.0429,0.4248,0.4248,0.4248,0.4248,3.1398,,,11.2425,11.2425,11.2425,11.2425,10.0415,7.9128,7.9128,7.9128,7.9128,10.87,10.87,8.8387,8.8387,8.8387,,12.7195,12.7195,6.2956,6.2956,6.2956,6.2956,6.2638,6.2638,6.2638,5.4604,5.4604,5.4604,5.1849,5.1849,5.1849,2.732,2.732,2.732,3.9584,,,,,,,,6.4884,6.4884,6.4884,6.4884,6.402,6.402,6.402,,7.1276,7.1276,7.1276,5.718,7.7664,7.7664,7.7664,7.7664,8.3354,8.3354,8.3412,8.3412,8.3412,8.3412,8.3412,4.5729,4.4292,4.4292,4.4292,4.4292,4.9014,4.9014,4.9014,5.2084
000055.SZ,6.8265,6.8265,6.8265,3.398,3.398,3.398,2.341,2.341,2.341,2.341,2.2613,2.2613,2.2613,2.2613,2.2968,4.0616,4.0616,4.0616,7.1112,7.1112,7.1112,6.7777,6.7777,6.7777,6.7777,6.7777,7.5845,3.9768,3.9768,3.9768,3.9768,6.971,6.971,6.7067,6.7067,6.7067,6.7067,6.7067,8.0981,4.9884,4.9884,4.9884,4.9884,8.2198,8.2198,7.5759,7.5759,7.5759,7.5759,7.5759,7.5759,6.6684,6.6684,6.6684,6.6684,8.1232,8.1232,9.7073,9.7073,9.7073,9.7073,9.7073,37.8937,11.3004,11.3004,11.3004,11.3004,19.4934,19.4934,19.4934,19.9835,19.9835,19.9835,19.9835,19.9835,11.9796,11.9796,11.9796,11.9796,14.1,14.1,13.1463,13.1463,13.1463,53.2637,53.2637,53.2637,5.5116,5.5116,5.5116,5.5116,5.033,5.033,4.0612,4.0612
000056.SZ,-89.7906,-89.7906,-89.7906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.512,3.3404,3.3404,2.9337,2.9337
